,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,NTEE_CD
88397,800668125,DOBBS FERRY LOCAL DEVELOPMENT CORPORATION,,112 MAIN ST,DOBBS FERRY,NY,10522-4622,S30
88684,810568035,CHAUTAUQUA OPPORTUNITIES FOR DEVELOPMENT INC,% SARAH TRANTUM,17 W COURTNEY ST,DUNKIRK,NY,14048-2754,S30
88755,810638150,NORTH EASTERN EXPANSION DEVELOPMENT CORP,% NADIA JOHNSON,PO BOX 444,WASSAIC,NY,12592-0444,S30
88896,810788036,MEATPACKING DISTRICT MANAGEMENT ASSOCIATION INC,,32 GANSEVOORT STREET,NEW YORK,NY,10014-1669,S30
89381,811321280,FILLMORE FORWARD,% RITA GRAY,780 FILLMORE AVE,BUFFALO,NY,14212-1342,S30
89808,811983565,BREAKOUT FOUNDATION INC,% GRAHAM COHEN,224 W 35TH ST STE 500 UNIT 512,NEW YORK,NY,10001-2538,S31
89965,812256483,RECREATION AND ECONOMI DEVELOPMENT CORPORATION OF SUFFOLK,% LYNNE BIZZARRO,100 VETERANS MEMORIAL HWY,HAUPPAUGE,NY,11788-5402,S30
90358,812782023,NEIGHBORHOOD STRATEGIES INC,,15 GAYNOR AVENUE APT 2E,MANHASSET,NY,11030-0000,S30
90445,812871972,FULTON MARKET ASSOCIATION INC,% STEPHEN C DIMA,535 CARLTON AVE APT 1801,BROOKLYN,NY,11238-4488,S30
90467,812891028,FINGER LAKES OPPORTUNITY FOR TOURISM GROWTH INC,% PRESIDENT,309 LAKE ST,PENN YAN,NY,14527-1806,S31
90537,812988918,GET YOUR LIFE BACK INC,% LINDA BROADWAY,271 NORTH AVENUE,NEW ROCHELLE,NY,10801-5104,S30
90815,813344989,CATTARAUGUS COUNTY LAND BANK CORPORATION,% DEPARTMENT OF EDP&T,303 COURT ST,LITTLE VALLEY,NY,14755-1028,S30
91291,813967418,ROCHESTER MARKET DRIVEN COMMUNITY CORPORATION,,PO BOX 14809,ROCHESTER,NY,14614-0809,S31
91304,813975480,GREATER GOOD DYNAMICS,% ROBERT GEORGE,28 LINDEN FARM LN,RED HOOK,NY,12571-3330,S32
91697,814459304,CULTURAL ROW BLOCK ASSOCIATION ON EASTERN PARKWAY INC,% LOUISE TRUBEK,85 EASTERN PARKWAYSUITE 1A,BROOKLYN,NY,11238-0000,S31
91834,814632031,NASSAU COUNCIL OF CHAMBERS OF COMMERCE CHARITABLE FOUNDATION INC,,1576 FRONT ST,EAST MEADOW,NY,11554-0000,S30
92819,820939626,SULLIVAN COUNTY LAND BANK CORPORATION,% FREDA EISENBERG,PO BOX 5012,MONTICELLO,NY,12701-0000,S30
92953,821159050,MAMAKATING LOCAL DEVELOPMENT CORPORATION,,PO BOX 761,WURTSBORO,NY,12790-0761,S30
93146,821443905,KOINONIA VENTURES INC,% ST MARK COPTIC CHURCH,ST MARK COPTIC CHURCH PO BOX 385,WOODBURY,NY,11797-0000,S30
93153,821454431,TAPROOT COLLECTIVE INC,,20 FIRST ST UNIT B,ROCHESTER,NY,14605-2423,S31
94143,822628096,BURA INC,% TRACY COOLEY,65 NIAGARA SQ RM 901,BUFFALO,NY,14202-3309,S30
94238,822728668,LIVINGSTON COUNTY LAND BANK CORPORATION,% IAN M COYLE,6 COURT ST RM 305,GENESEO,NY,14454-1043,S31
95009,823643027,NIAGARA ORLEANS REGIONAL LAND IMPROVEMENT CORPORATION,% ANDREA KLYCZEK,6311 INDUCON CORPORATE DRIVE,SANBORN,NY,14132-9012,S31
95151,823798820,ENDOW FOUNDATON INC,% ENDOW,772 ERIE STATION RD,W HENRIETTA,NY,14586-9998,S30
95476,824235338,AFRICAN HERITAGE ECONOMIC INITIATIVE,,48 DORRIS AVE,BUFFALO,NY,14215-3206,S31
95667,824493084,BUFFALO REANIMATE,% BUFFALO REANIMATE,240 70TH STREET,NIAGARA FALLS,NY,14304-0000,S31
95776,824654920,LOCATE FINGER LAKES INC,% CUDDY & WARD LLP RICHARD WARD,PO BOX 622,WATERLOO,NY,13165-0622,S30
95868,824796146,NIAGARA USA CHAMBER FOUNDATION INC,% DINENE ZALESKI,6311 INDUCON CORPORATE DRIVE,SANBORN,NY,14132-9012,S30
95887,824825464,WOMENS ECONOMIC INSTITUTE,% CHARLENE TARVER,334 W COLVIN ST,SYRACUSE,NY,13205-1423,S30
96102,825146327,ANZAFRIKA,% ERIC LETELLIER,1214 W BOSTON POST RD BOX 298,MAMARONECK,NY,10543-0000,S30
96245,825317351,COOPPORTUNITY,% COOPERATIVE DEVELOPMENT PROGRAM,443 39TH STREET,BROOKLYN,NY,11232-2037,S31
96757,830740820,MORRIS PARK DISTRICT MANAGEMENT ASSOCIATION INC,,966 MORRIS PARK AVE,BRONX,NY,10462-3715,S30
96930,830972521,LUCKY PEARL INTERIORS INC,% MILDRED DIAZ,32 COURT ST STE 701,BROOKLYN,NY,11201-4404,S31
97079,831176909,BAINBRIDGE DEVELOPMENT CORPORATION,% DAVE DECLUE,34 KIRBY ST,BAINBRIDGE,NY,13733-1147,S30
97517,831766314,BUILDING 127 LL INC,% BROOKLYN NAVY YARD DEVELOPMENT CO,141 FLUSHING AVENUE 801,BROOKLYN,NY,11205-1338,S30
98698,833091628,THE UMMAH GROUP INC,% ASKIA MUHAMMAD,168-30 127 AVENUE,NEW YORK,NY,10027-0000,S30
98713,833107591,GREENE COUNTY ECONOMIC DEVELOPMENT CORPORATION,% GC ECONOMIC DEVELOPMENT CORP,411 MAIN ST STE 419,CATSKILL,NY,12414-1367,S30
98842,833259596,RELOOPPLATFORM AMERICAS INC,% CLARISSA MORAWSKI,55 OLD CONKLIN HL,STANFORDVILLE,NY,12581-5649,S30
99260,833836544,MYRICK FOUNDATION INC,,PO BOX 140839,STATEN ISLAND,NY,10314-0839,S30
99313,833910629,MACEDONIA PROJECT,% DORALYNN R BONDS,619 COMMONWEALTH AVENUE,BRONX,NY,10473-3500,S31
99579,834301753,LIN CHARITABLE FOUNDATION,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30
99594,834324097,EVEREST ENTERPRISERS INC,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30
99674,834436881,BFP CREATIVE INC,,119 INGRAHAM STREET SUITE 108,BROOKLYN,NY,11237-1984,S31
99753,834563943,SKYLAR VENTURES INCORPORATED,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30
99815,834645510,FRANK AND SUSIE LIN FOUNDATION,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30
99936,841622031,OCEAN BAY COMMUNITY DEVELOPEMENT CORPORATION,% DELORES SADLER,434 BEACH 54TH ST,ARVERNE,NY,11692-1550,S31
100376,842112665,EXCELSIOR LOCAL DEVELOPMENT CORPORATION,,50 BEAVER STREET,ALBANY,NY,12207-1538,S30
100494,842283500,TRANSFORM FINANCE INC,% CURTIS LYON - SECRETARY & TREASUR,188 GRAND ST APT 2,NEW YORK,NY,10013-3752,S30
100834,842654843,FARM AND FOOD GROWTH FUND INC,,507 WARREN ST STE 2,HUDSON,NY,12534-2899,S30
100883,842729998,SUCCESS WITHOUT LIMITATIONS INC,% SUCCESS WITHOUT LIMITATIONS INC,11 CIRCLE DR,WHEATLEY HTS,NY,11798-1010,S31
101040,842924820,DREAMERSCORP INC,,4498 MAIN ST STE 4,BUFFALO,NY,14226-3826,S31
101118,842999033,ACHIEVMENT EXPLORERS INC,% PAUL MARTIN,1825 PARK AVENUE,NEW YORK,NY,10035-1932,S30
101811,843779044,TECHSTART INC,,71 GLENDALE PARK,ROCHESTER,NY,14613-2319,S30
101947,843924579,FOUNDATION OF FREEDOM INC,% EARL THOMASON JR,981 LAFAYETTE AVENUE,BROOKLYN,NY,11221-2328,S31
102068,844058366,FIVE BOROUGH JOBS CAMPAIGN,% RANDOLPH PEERS,570 LEXINGTON AVE FL 2,NEW YORK,NY,10022-6736,S30
102163,844151710,NORTH PARK COMMUNITY DEVELOPMENT CORPORATION,% ANISSA MOORE,101 EAST PARK AVENUE,LONG BEACH,NY,11561-6655,S31
102343,844385147,PELHAM LOCAL DEVELOPMENT CORPORATION,% CHRIS SCELZA,195 SPARKS AVE,PELHAM,NY,10803-1829,S30
102736,844988546,LEAD WYOMING COUNTY INC,% SCOTT GARDNER,36 CENTER STREET,WARSAW,NY,14569-1471,S30
103068,850743842,BROOKLYN DONATES INC,,280 OCEAN PARKWAY,BROOKLYN,NY,11218-4056,S30
103403,851272545,C-BETTER FOUNDATION INC,,35 BROOKDALE AVE,NEW ROCHELLE,NY,10801-2801,S31
103442,851319291,PUBLIC MONEY ACTION LTD,,450 RIVERSIDE DR,NEW YORK,NY,10027-6820,S30
103467,851353461,NAPLES AREA ECONOMIC DEVELOPMENT COALITION INC,,156 VICTOR MENDON RD,MENDON,NY,14506-9717,S30
103627,851599991,PITCH HAMBURG INC,% SEAN DOYLE,40 MAIN STREET,HAMBURG,NY,14075-4948,S30
103740,851791672,YOUNG AFRICAN GIRLS EMPOWERMENT INC,% OUMOU HANI ZAKARIA,2247 WALTON AVE APT 805,BRONX,NY,10453-1924,S30
104056,852402420,DOROTHY DAY HOUSING DEVELOPMENT FUND COMPANY INC,% BROADWAY HOUSING COMMUNITIES INC,583 RIVERSIDE DRIVE 7TH FL,NEW YORK,NY,10031-8346,S31
104280,852736800,KEREN ACHDUS INC,,1169 E 8TH ST,BROOKLYN,NY,11230-4701,S31
104338,852819206,INNER CITY GREEN TEAM ECONOMIC & ENVIRONMENTAL DEVELOPMENT,,383 EAST 143 ST,BRONX,NY,10454-1218,S30
104585,853122376,NATIONAL BASKETBALL ASSOCIATION FOUNDATION,% BRIAN MCDERMOTT,645 FIFTH AVENUE,NEW YORK,NY,10022-5910,S31
104621,853169615,GLOBAL EQUITY MOVEMENT FOUNDATION,% TIMOTHY CORPREW,PO BOX 3281,NEW YORK,NY,10017-0000,S30
105056,853795207,PROJECT COME UP INC,% OLIVER GRAY,44-70 21ST 3134,LONG ISLAND CITY,NY,11101-5114,S30
105470,854274099,NICHE MARKET INSIGHTS FOUNDATION INC,% LOMAX CAMPBELL,23 BROOKSCREST WAY,ROCHESTER,NY,14611-4060,S30
105492,854302409,FOUNDERS IMPACT NEW ENTERPRISE,% PAUL P MARTIN,140 WEST 31ST STREET,NEW YORK,NY,10001-3411,S30
105641,861092812,PROMETHEUS INSTITUTE FOR SUSTAINABLE DEVELOPMENT,% TRAVIS BRADFORD,520 W 112TH ST APT 16A,NEW YORK,NY,10025-1604,S30
105709,861186002,WOMEN ENTREPRENEURS INTERNATIONAL,% KIMBERLEY BUENO,156 BEEKMAN ST,NEW YORK,NY,10038-2051,S30
105938,861497141,FTS FOUNDATION INC,% THOMA CARPITELLA,18 MERRYHILL LN,PITTSFORD,NY,14534-1865,S30
106392,862253352,VILLAGE-CHELSEA COMMUNITY DEVELOPMENT CORPORATION,% MARIA DIAZ,PO BOX 1116,NEW YORK,NY,10113-1116,S30
106681,862705965,COMMUNITY TAX RELIEF INC,,2606 E 15TH ST STE 305,BROOKLYN,NY,11235-3830,S31
107279,863756053,UPSTATE ECONOMIC OPPORTUNITY INC,,500 SENECA ST STE 508,BUFFALO,NY,14204-1963,S30
107296,863784520,PEAKS ISLAND INFORMATION INC,% ALICIA KERSHAW,95 FRANKLIN ST APT 4,NEW YORK,NY,10013-3471,S31
107491,870793638,FLATBUSH NOSTRAND JUNCTION DISTRICT MANAGEMENT ASSOCIATION INC,% BKLYN COLLEGE,1616 NEWKIRK AVE,BROOKLYN,NY,11226-6612,S31
107874,871380072,WMCC FOUNDATION INC,% CHARLENE NIXON,177A E MAIN ST,NEW ROCHELLE,NY,10801-5711,S30
107883,871396739,NAQUAIN J KEY MEMORIAL FOUNDATION INC,,13447 174TH ST,JAMAICA,NY,11434-4539,S31
108086,871695854,THE DAVID A COULTER AND SUSAN C WEEKS CHARITABLE FOUNDATION,% THE AYCO COMPANY LP - NTG,PO BOX 15201,ALBANY,NY,12212-5201,S30
108651,872458311,PLAY2EARN FOUNDATION INC,% CHRIS GONSALVES,223 BEDFORD AVE STE A 2009,NEW YORK,NY,11211-4171,S30
109249,873372148,GRAND PENN COMMUNITY ALLIANCE INC,% GEORGE LENCE,28 WEST 44TH STREET 301,NEW YORK,NY,10036-0000,S30
110271,874823994,BLACK ENTREPRENEUR MARKET,% ELISE MCMAHON,224 STATE ST,HUDSON,NY,12534-1826,S31
110392,880673497,VOICE OF THE COMMUNITY,% YVES LAMBERT,1363 E 92ND ST,BROOKLYN,NY,11236-4822,S31
110479,880843128,HOLMES EXPERIENCE INC,,1510 ARCHER RD APT 4E,BRONX,NY,10462-5855,S31
110519,880923039,FAIRVIEW EMPOWERMENT GROUP,,339 TARRYTOWN ROAD SUITE 1051,ELMSFORD,NY,10523-3417,S31
110870,881472299,RED HOOK COMMUNITY BUSINESS ALLIANCE,% SUSAN POVICH,160 IMLAY ST APT 4C1,BROOKLYN,NY,11231-1673,S30
111326,882267245,NY CROSSROADS INC,% LEON GREENE,726 EXCHANGE ST STE 800,BUFFALO,NY,14210-1465,S30
111530,882534735,MINORITY MINDZ INC,% TASHAYLA WILLIAMS,455 E 45TH ST,BROOKLYN,NY,11203-4119,S31
111608,882651887,SADAQAH BRIDGE FOUNDATION INC,% MAWA KEITA,557 HALSEY ST FL 2,BROOKLYN,NY,11233-1101,S31
111750,882883310,LIBRA HOUSE 9 INC,,20 RICHMAN PLZ APT 31E,BRONX,NY,10453-6512,S31
111852,883012790,LOCAL SHOPPING EDUCATION,% EPHRAIM NEUMAN,176 MAPLE AVENUE SUITE 309,MONSEY,NY,10952-3183,S30
111895,883085960,BLACK WOMENS BUSINESS COLLECTIVE INC,% ZANADE MANN,1060 BROADWAY,MENANDS,NY,12204-2507,S30
112706,884241982,HERE INC,% ELENE SPANAKOS WEIS ESQ,14 WEST DR,LARCHMONT,NY,10538-1218,S30
113367,900642083,TICONDEROGA REVITALIZATION ALLIANCE INC,% ALLIANCE INC,PO BOX 247,TICONDEROGA,NY,12883-0247,S30
113571,900853595,URBAN EMPOWERMENT FUND,% PAUL WYCISK,80 PINE STREET 9TH FLOOR,NEW YORK,NY,10005-1702,S31
113648,900923200,LONG BEACH LOCAL DEVELOPMENT CORPORATION,% HARRIS BEACH PLLC,1 W CHESTER ST,LONG BEACH,NY,11561-2016,S30
114432,920474449,ABURA KIDS INTERNATIONAL INC,,22316 108TH AVE,QUEENS VLG,NY,11429-2414,S30
114692,920847027,16TH DISTRICT ECONOMIC AND ADVISORY INC,% GLORY THOMAS,348 W COLVIN ST,SYRACUSE,NY,13205-1423,S31
115113,921383658,FINDLEY LAKE FORWARD INC,% WILLIAM E SIMPKINS,2116 SHADYSIDE RD,CLYMER,NY,14724-9649,S30
115352,921737833,SEED OF THE FREEDOM INC,% VLADIMIR VOLOKH,45 OCEANA DR E APT 1J,BROOKLYN,NY,11235-6677,S31
115463,921953714,CENTER FOR REGIONAL STRATEGIES INC,% LAURENCE RUBIN,726 EXCHANGE STREET 802,BUFFALO,NY,14210-1484,S30
115704,922352699,ALLIANCE OF URBAN UNITED DEVELOPMENT AND INCLUSION CORP,,2 FLO DR,SYOSSET,NY,11791-3904,S31
115770,922460848,KOI COMMUNTIY NETWORK INC,,558 GRAND CONCOURSE BOX 87,BRONX,NY,10451-9909,S31
115785,922484969,EAST BUFFALO DEVELOPMENT CORPORATION,,3185 BAILEY AVE STE B,BUFFALO,NY,14215-1636,S31
115877,922650555,HELPING THE DIOCESE OF SUNYANI INC,,39 JEFFERSON LN,BEDFORD,NY,10506-1406,S30
115878,922651586,GO ITHACA INC,,171 E STATE ST,ITHACA,NY,14850-5566,S30
116105,923055520,STARTUP PK,% DANA JONES,PO BOX 3484,POUGHKEEPSIE,NY,12603-0484,S30
116308,923413540,PLANET FINANC,,110 E SUFFOLK AVE UNIT 24,CENTRAL ISLIP,NY,11722-6000,S31
116610,923917098,NIYAH CARES,% MANDY DAVIS,80 RIVERDALE AVE APT 3E,YONKERS,NY,10701-3617,S31
116654,923979406,CENTRAL AND SOUTH EAST BROOKLYN COMMUNITY DEVELOPMENT CORPORATION,,2918 AVENUE I,BROOKLYN,NY,11210-2935,S31
116836,931541790,SHARE25 INC,,2790 W 5TH ST APT 5D,BROOKLYN,NY,11224-4123,S30
117591,932802502,TOWN OF DEKALB REVITALIZATION CORPORATION,,PO BOX 244,DE KALB JCT,NY,13630-0244,S31
117805,933182112,ENTREPRENEURS FOR GLOBAL CHANGE INC,,1412 BROADWAY FL 21,NEW YORK,NY,10018-9243,S30
118104,933677787,DOWNTOWN ITHACA LDC II INC,,171 E STATE ST STE 136,ITHACA,NY,14850-5587,S30
118557,934391952,VIABLE LIVING INC,% JOHAN SNAGGS,46 JUNIPER HILL RD,WHITE PLAINS,NY,10607-0000,S31
118634,934518403,BUFFALO NIAGARA FILM COMMISSION INC,,1300 ELMWOOD AVE,BUFFALO,NY,14222-1004,S30
118754,934735181,ATHLETIC RENOVATIONS,% VICTOR QUIONONES,3030 SURF AVE,BROOKLYN,NY,11224-1918,S30
119321,990717306,WESTPORT-WADHAMS COMMUNITY ALLIANCE INC,,PO BOX 394,WESTPORT,NY,12993-0394,S30
119806,991787621,1DEED INC,,554 HELENDALE RD,ROCHESTER,NY,14609-3116,S30
120048,992399164,URBAN VILLAGE FOUNDATION INC,,396 WAVERLY AVE,BROOKLYN,NY,11238-1706,S31
120171,992851709,KARLEIDOSCOPE CAREER PATHWAYS INC,,7628 VILLA MARIA,SYRACUSE,NY,13212-1123,S31
120307,993328221,INSTITUTE FOR HUMAN RIGHTS INC,,396 WAVERLY AVE,BROOKLYN,NY,11238-1706,S31
